[2025-05-21 03:59:07.409255] Starting Kafka producer...
[2025-05-21 04:01:59.708921] Sent record 64699
[2025-05-21 04:02:00.709761] Sent record 172
[2025-05-21 04:02:01.710483] Sent record 173
[2025-05-21 04:02:02.711323] Sent record 171
[2025-05-21 04:02:03.712080] Sent record 64706
[2025-05-21 04:02:04.712904] Sent record 64705
[2025-05-21 04:02:05.713670] Sent record 64702
[2025-05-21 04:02:06.714247] Sent record 64703
[2025-05-21 04:02:07.714852] Sent record 64704
[2025-05-21 04:02:08.715539] Sent record 64708
[2025-05-21 04:02:09.716320] Sent record 64707
[2025-05-21 04:02:10.717248] Sent record 64709
[2025-05-21 04:02:11.717821] Sent record 64710
[2025-05-21 04:02:12.718603] Sent record 64711
[2025-05-21 04:02:13.719115] Sent record 64712
[2025-05-21 04:02:14.722863] Sent record 64713
[2025-05-21 04:02:15.723470] Sent record 64714
[2025-05-21 04:02:16.724376] Sent record 64715
[2025-05-21 04:02:17.725256] Sent record 64716
[2025-05-21 04:02:18.726157] Sent record 64717
[2025-05-21 04:02:19.726973] Sent record 64718
[2025-05-21 04:02:20.727958] Sent record 64719
[2025-05-21 04:02:21.728936] Sent record 64720
[2025-05-21 04:02:22.729693] Sent record 64721
[2025-05-21 04:02:23.730394] Sent record 64722
[2025-05-21 04:02:24.731205] Sent record 64725
[2025-05-21 04:02:25.732101] Sent record 64723
[2025-05-21 04:02:26.732869] Sent record 64724
[2025-05-21 04:02:27.733546] Sent record 64726
[2025-05-21 04:02:28.734513] Sent record 64727
[2025-05-21 04:02:29.735349] Sent record 64728
[2025-05-21 04:02:30.736105] Sent record 64729
[2025-05-21 04:02:31.737194] Sent record 64730
[2025-05-21 04:02:32.737928] Sent record 64733
[2025-05-21 04:02:33.738890] Sent record 64734
[2025-05-21 04:02:34.739872] Sent record 64731
[2025-05-21 04:02:35.740680] Sent record 64732
[2025-05-21 04:02:36.743609] Sent record 64735
[2025-05-21 04:02:37.744412] Sent record 64736
[2025-05-21 04:02:38.745429] Sent record 64737
[2025-05-21 04:02:39.746148] Sent record 64738
[2025-05-21 04:02:40.746749] Sent record 64739
[2025-05-21 04:02:41.747523] Sent record 64740
[2025-05-21 04:02:42.748289] Sent record 64741
[2025-05-21 04:02:43.749279] Sent record 64742
[2025-05-21 04:02:44.750169] Sent record 64744
[2025-05-21 04:02:45.751042] Sent record 64743
[2025-05-21 04:02:46.751895] Sent record 64750
[2025-05-21 04:02:47.752717] Sent record 64749
[2025-05-21 04:02:48.753616] Sent record 64745
[2025-05-21 04:02:49.754486] Sent record 64747
[2025-05-21 04:02:50.755696] Sent record 64746
[2025-05-21 04:02:51.756463] Sent record 64748
[2025-05-21 04:02:52.757278] Sent record 64751
[2025-05-21 04:02:53.758030] Sent record 64752
[2025-05-21 04:02:54.758851] Sent record 64753
[2025-05-21 04:02:55.759559] Sent record 64754
[2025-05-21 04:02:56.760311] Sent record 64755
[2025-05-21 04:02:57.761155] Sent record 64756
[2025-05-21 04:02:58.761969] Sent record 64757
[2025-05-21 04:02:59.763502] Sent record 64758
[2025-05-21 04:03:00.764295] Sent record 64759
[2025-05-21 04:03:01.765123] Sent record 64762
[2025-05-21 04:03:02.765929] Sent record 64763
[2025-05-21 04:03:03.767769] Sent record 64760
[2025-05-21 04:03:04.768750] Sent record 64761
[2025-05-21 04:03:05.769502] Sent record 64765
[2025-05-21 04:03:06.770270] Sent record 64764
[2025-05-21 04:03:07.771176] Sent record 64766
[2025-05-21 04:03:08.771977] Sent record 64767
[2025-05-21 04:03:09.772677] Sent record 64768
[2025-05-21 04:03:10.773537] Sent record 64769
[2025-05-21 04:03:11.774300] Sent record 64770
[2025-05-21 04:03:12.775119] Sent record 64776
[2025-05-21 04:03:13.775861] Sent record 64775
[2025-05-21 04:03:14.776558] Sent record 64772
[2025-05-21 04:03:15.777325] Sent record 64773
[2025-05-21 04:03:16.778090] Sent record 64771
[2025-05-21 04:03:17.778863] Sent record 64774
[2025-05-21 04:03:18.779642] Sent record 64777
[2025-05-21 04:03:19.780230] Sent record 64778
[2025-05-21 04:03:20.780950] Sent record 64779
[2025-05-21 04:03:21.781783] Sent record 64780
[2025-05-21 04:03:22.782603] Sent record 64781
[2025-05-21 04:03:23.783357] Sent record 64782
[2025-05-21 04:03:24.784056] Sent record 64783
[2025-05-21 04:03:25.784784] Sent record 64784
[2025-05-21 04:03:26.785527] Sent record 64785
[2025-05-21 04:03:27.786093] Sent record 64786
[2025-05-21 04:03:28.786899] Sent record 64787
[2025-05-21 04:03:29.787603] Sent record 64788
[2025-05-21 04:03:30.788261] Sent record 64789
[2025-05-21 04:03:31.789093] Sent record 64790
[2025-05-21 04:03:32.789845] Sent record 64791
[2025-05-21 04:03:33.790579] Sent record 64797
[2025-05-21 04:03:34.791499] Sent record 64796
[2025-05-21 04:03:35.792352] Sent record 64793
[2025-05-21 04:03:36.793214] Sent record 64794
[2025-05-21 04:03:37.794078] Sent record 64792
[2025-05-21 04:03:38.794776] Sent record 64795
[2025-05-21 04:03:39.795726] Sent record 64798
[2025-05-21 04:03:40.796766] Sent record 64799
[2025-05-21 04:03:41.797502] Sent record 64800
[2025-05-21 04:03:42.798364] Sent record 64803
[2025-05-21 04:03:43.799134] Sent record 64801
[2025-05-21 04:03:44.800040] Sent record 64802
[2025-05-21 04:03:45.800873] Sent record 64804
[2025-05-21 04:03:46.801742] Sent record 64805
[2025-05-21 04:03:47.802424] Sent record 64806
[2025-05-21 04:03:48.802934] Sent record 64807
[2025-05-21 04:03:49.803760] Sent record 64808
[2025-05-21 04:03:50.804489] Sent record 64809
[2025-05-21 04:03:51.805231] Sent record 64810
[2025-05-21 04:03:52.805981] Sent record 64811
[2025-05-21 04:03:53.806806] Sent record 64812
[2025-05-21 04:03:54.807605] Sent record 64813
[2025-05-21 04:03:55.808421] Sent record 64814
[2025-05-21 04:03:56.809204] Sent record 64815
[2025-05-21 04:03:57.809965] Sent record 64822
[2025-05-21 04:03:58.810505] Sent record 64820
[2025-05-21 04:03:59.811378] Sent record 64821
[2025-05-21 04:04:00.811986] Sent record 64818
[2025-05-21 04:04:01.812678] Sent record 64816
[2025-05-21 04:04:02.813531] Sent record 64819
[2025-05-21 04:04:03.814510] Sent record 64817
[2025-05-21 04:04:04.815275] Sent record 64823
[2025-05-21 04:04:05.816104] Sent record 64824
[2025-05-21 04:04:06.816993] Sent record 64828
